'bout бАут
'cause кэз
'course корс
'cuse кйуз
'em эм
'frisco фрЫскoу
'gain ген
'kay кей
'm эм
'n эн
'round рАунд
's ес
'til тыл
'tis тыз
'twas туАз
a э
a's ейз
a. ей
a.'s ейз
a.d. ейдИ
a.m. ейЕм
a.s ейз
aaa трыпэлЕй
aaberg Абэрг
aachen Акэн
aachener Акэнэр
aaker Акэр
aalborg Олборг
aalburg Элбэрг
aalen Элэн
aaliyah алИа
aalseth Алсет
aalsmeer Алсмыр
aalto Алтoу
aamodt Амэт
aancor Анкор
aardema ардЕмэ
aardvark Ардварк
aardvarks Ардваркс
aargh арг
aarhus ахУс
aaron Ерэн
aaron's Ерэнз
aarons Ерэнз
aaronson Ерэнсэн
aaronson's Ерэнсэнз
aarti Арти
aase ас
aasen Асэн
ab эб
aba ейбиЕй
ababa эбАбэ
abacha Эбэкэ
aback эбЭк
abaco Эбэкoу
abacus Эбэкэс
abad эбАд
abadaka эбЭдэкэ
abadi эбЭди
abadie эбЭди
abair эбЕр
abalkin эбАлкын
abalone эбэлOуни
abalones эбэлOуниз
abalos абАлoуз
abandon эбЭндэн
abandoned эбЭндэнд
abandoning эбЭндэнын
abandonment эбЭндэнмэнт
abandonments эбЭндэнмэнтс
abandons эбЭндэнз
abanto эбЭнтoу
abarca эбАркэ
abare абАри
abascal Эбэскэл
abash эбЭш
abashed эбЭшт
abasia эбЕйжйэ
abate эбЕйт
abated эбЕйтыд
abatement эбЕйтмэнт
abatements эбЕйтмэнтс
abates эбЕйтс
abating эбЕйтын
abattoir эбэтуАр
abba Эбэ
abbado эбАдoу
abbas эбАс
abbasi абАси
abbate Абейт
abbatiello абатиЕлoу
abbe Эби
abbenhaus Эбэнхаус
abbett эбЕт
abbeville Эбвыл
abbey Эби
abbey's Эбиз
abbie Эби
abbitt Эбыт
abbot Эбэт
abbotstown Эбэтстаун
abbott Эбэт
abbott's Эбэтс
abbottstown Эбэтстаун
abboud эбУд
abbreviate эбрИвиейт
abbreviated эбрИвиейтыд
abbreviates эбрИвиейтс
abbreviating эбрИвиейтын
abbreviation эбривиЕйшэн
abbreviations эбривиЕйшэнз
abbruzzese абрутсЕйзи
abbs эбз
abby Эби
abc Ейбиси
abc's Ейбисиз
abco Эбкoу
abcotek Эбкoутек
abcs Ейбисиз
abd ейбидИ
abdalla эбдЭлэ
abdallah эбдЭлэ
abdel Эбдел
abdella эбдЕлэ
abdicate Эбдэкейт
abdicated Эбдэкейтыд
abdicates Эбдэкейтс
abdicating Эбдыкейтын
abdication эбдыкЕйшэн
abdnor Эбднэр
abdo Эбдoу
abdollah эбдАлэ
abdomen эбдOумэн
abdominal эбдАмэнэл
abduct эбдАкт
abducted эбдАктыд
abductee эбдактИ
abductees эбдактИз
abducting эбдАктын
abduction эбдАкшэн
abductions эбдАкшэнз
abductor эбдАктэр
abductors эбдАктэрз
abducts эбдАктс
abdul эбдУл
abdulaziz эбдулэзИз
abdulla абдУлэ
abdullah эбдАлэ
abe ейб
abed эбЕд
abedi эбЕди
abee эбИ
abel Ейбэл
abela абЕлэ
abelard Эбылэрд
abele эбЕл
abeles эбЕлз
abell Ейбэл
abella эбЕлэ
abeln Эбылн
abelow Эбэлoу
abels Ейбэлз
abelson Эбылсэн
abend Эбенд
abendroth Эбындрот
aber Ейбэр
abercrombie эбэркрАмби
aberdeen Эбэрдин
aberford Ейбэрфэрд
aberg Эбэрг
aberle Эбэрэл
abermin Эбэрмын
abernathy Эбэрнэти
abernethy Эбэрнети
aberrant эбЕрэнт
aberration эбэрЕйшэн
aberrational эбэрЕйшэнэл
aberrations эбэрЕйшэнз
abert Эбэрт
abet эбЕт
abetted эбЕтыд
abetting эбЕтын
abex Ейбекс
abeyance эбЕйэнс
abeyta абЕйтэ
